trial_nr	onset	event_type	phase	response	nr_frames	condition	fixation_color_switch	contrast	onset_abs	duration
0	0.15828895568847656	dummy	0		4438.0				3.7738988399505615	36.983214139938354
0	6.1947619915008545	response	0	b					9.81037187576294	
0	22.116701126098633	response	0	b					25.732311010360718	
0	26.283650159835815	response	0	b					29.8992600440979	
0	31.683356046676636	response	0	b					35.29896593093872	
0	36.74172902107239	response	0	b					40.35733890533447	
0	37.133262157440186	pulse	0	t					40.74887204170227	
0	37.14150309562683	intro	1		3601.0				40.757112979888916	30.008200883865356
0	44.68350100517273	response	1	b					48.299110889434814	
0	49.54993200302124	response	1	b					53.165541887283325	
0	54.89152717590332	response	1	b					58.507137060165405	
0	59.308263063430786	response	1	b					62.92387294769287	
0	63.43313717842102	response	1	b					67.0487470626831	
1	67.14970397949219	stim	0		240.0	suppr_1		low	70.76531386375427	1.999582052230835
1	69.12491798400879	response	0	b		suppr_1		low	72.74052786827087	
1	69.14928603172302	iti	1		1961.0	suppr_1		low	72.76489591598511	16.3419771194458
1	74.90809416770935	response	1	b		suppr_1		low	78.52370405197144	
1	79.13312697410583	pulse	1	t		suppr_1		low	82.74873685836792	
1	80.84970498085022	response	1	b		suppr_1		low	84.4653148651123	
1	84.91638016700745	response	1	b		suppr_1		low	88.53199005126953	
2	85.49126315116882	stim	0		240.0	act		low	89.10687303543091	2.000018835067749
2	87.49128198623657	iti	1		2880.0	act		low	91.10689187049866	23.99982213973999
2	89.63308095932007	response	1	b		act		low	93.24869084358215	
2	97.61635899543762	response	1	b		act		low	101.2319688796997	
2	102.56634211540222	response	1	b		act		low	106.1819519996643	
2	107.63296604156494	response	1	b		act		low	111.24857592582703	
3	111.49110412597656	stim	0		240.0	act		low	115.10671401023865	1.9999558925628662
3	111.84952306747437	response	0	b		act		low	115.46513295173645	
3	113.49106001853943	iti	1		2391.0	act		low	117.10666990280151	19.925013065338135
3	119.63293600082397	response	1	b		act		low	123.24854588508606	
3	121.13290500640869	pulse	1	t		act		low	124.74851489067078	
3	124.38288807868958	response	1	b		act		low	127.99849796295166	
3	132.33283710479736	response	1	b		act		low	135.94844698905945	
4	133.41607308387756	stim	0		240.0	suppr_1		low	137.03168296813965	1.9999539852142334
4	135.4160270690918	iti	1		1767.0	suppr_1		low	139.03163695335388	14.724862098693848
4	137.4495279788971	response	1	b		suppr_1		low	141.06513786315918	
4	143.60785102844238	response	1	b		suppr_1		low	147.22346091270447	
5	150.14088916778564	stim	0		240.0	suppr_1		low	153.75649905204773	1.9999959468841553
5	151.29950594902039	response	0	b		suppr_1		low	154.91511583328247	
5	152.1408851146698	iti	1		1882.0	suppr_1		low	155.75649499893188	15.683312892913818
5	157.7577929496765	response	1	b		suppr_1		low	161.3734028339386	
5	163.13261699676514	pulse	1	t		suppr_1		low	166.74822688102722	
5	164.49924111366272	response	1	b		suppr_1		low	168.1148509979248	
6	167.82419800758362	stim	0		240.0	suppr_2		low	171.4398078918457	2.0000131130218506
